Class,MethodCount,Methods
"Hf14aCmd",9,"search|info|raw|sniff|sim|apdu|config|cuids|ndefRead"
"Hf14bCmd",9,"reader|info|sniff|dump|rdbl|wrbl|raw|sim|ndefRead"
"HfMfCmd",57,"info|search|mad|acl|isen|autopwn|chk|fchk|darkside|nested|staticNested|hardnested|nack|brute|decrypt|supercard|keygen|rdbl|rdsc|wrbl|dump|restore|view|wipe|value|sim|eload|esave|eclr|egetblk|esetblk|eview|ecfill|ekeyprn|cgetblk|cgetsc|csetblk|csetuid|cload|csave|cview|cwipe|gen3uid|gen3blk|gen3freeze|ginfo|ggetblk|gsetblk|gload|gsave|gview|gchpwd|ndefRead|ndefWrite|ndefFormat|sniff|traceList"
"HfMfuCmd",17,"info|dump|rdbl|wrbl|restore|view|wipe|ndefRead|keygen|pwdgen|cauth|cchk|sim|eload|esave|eview|setuid"
"HfMfdesCmd",20,"info|detect|getuid|freemem|mad|chk|auth|formatpicc|getaids|lsapp|selectapp|createapp|deleteapp|getfileids|lsfiles|read|write|dump|changekey|getkeysettings"
"Hf15Cmd",13,"reader|info|dump|restore|rdbl|wrbl|view|wipe|sniff|raw|sim|findafi|csetuid"
"HfIclassCmd",13,"info|reader|dump|rdbl|wrbl|restore|view|sniff|chk|loclass|sim|eload|eview"
"HfFelicaCmd",8,"reader|info|sniff|dump|rdbl|wrbl|raw|litedump"
"HfLegicCmd",7,"info|dump|restore|rdbl|wrbl|wipe|sim"
"HfSeosCmd",3,"info|pacs|sim"
"HfEmvCmd",4,"search|ppse|exec|test"
"HfFidoCmd",3,"info|reg|auth"
"HfCmd",4,"search|tune|sniff|list"
"LfCmd",6,"search|read|sniff|tune|sim|config"
"LfEmCmd",15,"em410xReader|em410xClone|em410xSim|em410xBrute|em410xWatch|em4x05Dump|em4x05Info|em4x05Read|em4x05Write|em4x05Unlock|em4x05Wipe|em4x50Info|em4x50Dump|em4x70Info|em4x70Auth"
"LfT55xxCmd",12,"detect|info|dump|read|write|bruteforce|chk|wipe|trace|sniff|recoverpw|protect"
"LfHidCmd",5,"reader|demod|clone|sim|brute"
"LfAwidCmd",3,"reader|clone|sim"
"LfIndalaCmd",3,"reader|clone|sim"
"LfHitagCmd",7,"reader|info|dump|sniff|sim|chk|crack"
"LfIoCmd",3,"reader|clone|sim"
"LfPyramidCmd",2,"reader|clone"
"LfKeriCmd",2,"reader|clone"
"LfFdxbCmd",2,"reader|clone"
"HwCmd",14,"version|status|tune|ping|dbg|fpgaoff|reset|bootloader|connect|setlfdivisor|tia|tearoff|standalone|detectreader"
"MemCmd",4,"info|dump|load|wipe"
"DataCmd",8,"plot|save|load|clear|samples|detectclock|asn1|diff"
"TraceCmd",4,"list|save|load|extract"
"NfcCmd",5,"decode|type1|type2|type4a|barcode"
"ScriptCmd",2,"run|list"
"MiscCmd",3,"auto|clear|quit"
"Pm3Commands",43,"hf14aSearch|hf14aInfo|hfMfInfo|hfMfDump|hfMfRestore|hfMfReadBlock|hfMfWriteBlock|hfMfNested|hfMfStaticNested|hfMfHardnested|hfMfDarkside|hfMfCheck|hfMfAutopwn|hfMfView|hfMfEmulatorClear|hfMfEmulatorGetBlock|hfMfEmulatorSetBlock|hfMfEmulatorSim|hfMfMagicGetBlock|hfMfMagicSetBlock|hfMfMagicWipe|hfMfCuidClearBlock|hfMfCuidWriteBlock|hfMfWriteTrailer|defaultTrailerData|hfSniff|hf14aSniff|traceList|lfSearch|lfRead|lfSniff|lfTune|lfEm410xRead|lfEm410xClone|lfT55xxDetect|lfT55xxInfo|lfT55xxDump|lfT55xxReadBlock|lfT55xxWriteBlock|hwVersion|hwStatus|hwTune|cardSizeFlag"